Country,Year,Predicted_Tourism
Austria,2022,22550.45125481281
Austria,2023,21578.35734954145
Austria,2024,23751.420856562887
Austria,2025,23220.26725151797
Belgium,2022,4785.938483328436
Belgium,2023,4176.697115256768
Belgium,2024,5223.431285575953
Belgium,2025,4756.072374696555
Bulgaria,2022,4213.599743937222
Bulgaria,2023,3692.6462879847063
Bulgaria,2024,4737.912255356003
Bulgaria,2025,4301.248038260486
Croatia,2022,11237.08116316324
Croatia,2023,10574.626881188966
Croatia,2024,13506.595121711125
Croatia,2025,13058.335983726636
Denmark,2022,9378.00586952221
Denmark,2023,8825.682007196465
Denmark,2024,10760.919395106035
Denmark,2025,10436.536928782092
Estonia,2022,2056.654325665878
Estonia,2023,1917.4913254619532
Estonia,2024,2108.049300392608
Estonia,2025,2005.0236967749559
Finland,2022,1524.117291624466
Finland,2023,1271.6034724649144
Finland,2024,1246.6405456877555
Finland,2025,1054.242777580209
France,2022,55484.44004963782
France,2023,49512.215552169604
France,2024,60049.23129463139
France,2025,55578.894412098045
Germany,2022,25661.984087548175
Germany,2023,24317.096029312343
Germany,2024,27097.285955651932
Germany,2025,26210.32216430959
Greece,2022,19180.891264228492
Greece,2023,18062.98003392614
Greece,2024,22785.7668338129
Greece,2025,22045.479032023013
Hungary,2022,13218.726728309459
Hungary,2023,12923.702754255968
Hungary,2024,14613.155916344214
Hungary,2025,14552.455984075405
Iceland,2022,1590.7076912698944
Iceland,2023,1603.1181541822698
Iceland,2024,1889.595526438688
Iceland,2025,1915.9530917082702
Italy,2022,39334.61474333753
Italy,2023,36364.807958511534
Italy,2024,43530.43210271499
Italy,2025,41484.92455998151
Lithuania,2022,1983.093571822555
Lithuania,2023,1932.1116969762681
Lithuania,2024,2129.057399941297
Lithuania,2025,2110.5554116948947
Luxembourg,2022,775.0096909526944
Luxembourg,2023,724.1177227291971
Luxembourg,2024,844.1415165516767
Luxembourg,2025,807.8323943011296
Netherlands,2022,13648.941744008805
Netherlands,2023,13274.630743135562
Netherlands,2024,14929.762157314139
Netherlands,2025,14777.370522975698
Norway,2022,3314.267436718282
Norway,2023,3014.51526811329
Norway,2024,3440.366155710572
Norway,2025,3205.2270361810047
Poland,2022,14591.943075652536
Poland,2023,13969.94925667885
Poland,2024,15988.935876811061
Poland,2025,15655.93584985335
Portugal,2022,11289.506366272028
Portugal,2023,11002.87859397579
Portugal,2024,13155.692357379075
Portugal,2025,13035.892461400153
Spain,2022,49748.42221383059
Spain,2023,46374.62251518929
Spain,2024,54584.695510602134
Spain,2025,52024.45123959816
Sweden,2022,4781.682562377682
Sweden,2023,4330.976465681346
Sweden,2024,4641.040009758371
Sweden,2025,4275.611288706316
Turkey,2022,24220.959072785943
Turkey,2023,20177.496616214576
Turkey,2024,31392.99533234729
Turkey,2025,28385.545586095945
Ukraine,2022,2197.6637004586883
Ukraine,2023,445.07378153089667
Ukraine,2024,0.0
Ukraine,2025,0.0
