Country,Year,Predicted_Tourism
Austria,2022,21053.7
Austria,2023,21053.7
Austria,2024,21053.7
Austria,2025,21053.7
Austria,2026,21053.7
Belgium,2022,5692.61
Belgium,2023,5692.61
Belgium,2024,5692.61
Belgium,2025,5692.61
Belgium,2026,5692.61
Bulgaria,2022,4702.68
Bulgaria,2023,4702.68
Bulgaria,2024,4702.68
Bulgaria,2025,4702.68
Bulgaria,2026,4702.68
Croatia,2022,12323.74
Croatia,2023,12323.74
Croatia,2024,12323.74
Croatia,2025,12323.74
Croatia,2026,12323.74
Denmark,2022,10057.31
Denmark,2023,10057.31
Denmark,2024,10057.31
Denmark,2025,10057.31
Denmark,2026,10057.31
Estonia,2022,1906.45
Estonia,2023,1906.45
Estonia,2024,1906.45
Estonia,2025,1906.45
Estonia,2026,1906.45
Finland,2022,1866.23
Finland,2023,1866.23
Finland,2024,1866.23
Finland,2025,1866.23
Finland,2026,1866.23
France,2022,65250.42
France,2023,65250.42
France,2024,65250.42
France,2025,65250.42
France,2026,65250.42
Germany,2022,23578.33
Germany,2023,23578.33
Germany,2024,23578.33
Germany,2025,23578.33
Germany,2026,23578.33
Greece,2022,20263.89
Greece,2023,20263.89
Greece,2024,20263.89
Greece,2025,20263.89
Greece,2026,20263.89
Hungary,2022,11434.44
Hungary,2023,11434.44
Hungary,2024,11434.44
Hungary,2025,11434.44
Hungary,2026,11434.44
Iceland,2022,1242.99
Iceland,2023,1242.99
Iceland,2024,1242.99
Iceland,2025,1242.99
Iceland,2026,1242.99
Italy,2022,42074.11
Italy,2023,42074.11
Italy,2024,42074.11
Italy,2025,42074.11
Italy,2026,42074.11
Lithuania,2022,1770.35
Lithuania,2023,1770.35
Lithuania,2024,1770.35
Lithuania,2025,1770.35
Lithuania,2026,1770.35
Luxembourg,2022,841.96
Luxembourg,2023,841.96
Luxembourg,2024,841.96
Luxembourg,2025,841.96
Luxembourg,2026,841.96
Netherlands,2022,12333.3
Netherlands,2023,12333.3
Netherlands,2024,12333.3
Netherlands,2025,12333.3
Netherlands,2026,12333.3
Norway,2022,3320.39
Norway,2023,3320.39
Norway,2024,3320.39
Norway,2025,3320.39
Norway,2026,3320.39
Poland,2022,14414.38
Poland,2023,14414.38
Poland,2024,14414.38
Poland,2025,14414.38
Poland,2026,14414.38
Portugal,2022,10335.62
Portugal,2023,10335.62
Portugal,2024,10335.62
Portugal,2025,10335.62
Portugal,2026,10335.62
Spain,2022,51492.64
Spain,2023,51492.64
Spain,2024,51492.64
Spain,2025,51492.64
Spain,2026,51492.64
Sweden,2022,4673.82
Sweden,2023,4673.82
Sweden,2024,4673.82
Sweden,2025,4673.82
Sweden,2026,4673.82
Turkey,2022,35477.46
Turkey,2023,35477.46
Turkey,2024,35477.46
Turkey,2025,35477.46
Turkey,2026,35477.46
Ukraine,2022,7872.1
Ukraine,2023,7872.1
Ukraine,2024,7872.1
Ukraine,2025,7872.1
Ukraine,2026,7872.1
